,Report Number(s),Workplan_Title,Workplan_Summary
0,A-02-17-02005,New York Did Not Have Adequate Oversight of Its Reported Temporary Assistance for Needy Families Program Expenditures A-02-17-02005 05-18-2021,"The Temporary Assistance for Needy Families (TANF) program provides grants to States to help low-income families with financial assistance and support for work-related activities, child care, and other services.  As a condition of receiving Federal TANF funds, States are required to spend a certain amount of their own funds (known as State maintenance-of-effort (MOE) funds) on TANF-allowable expenditures.  Effective fiscal year (FY) 2015, States must use a revised form to report their TANF and MOE expenditures quarterly to the Administration for Children and Families (ACF).  Therefore, we decided to review States' compliance with the revised TANF reporting requirements.  We audited New York's compliance because a prior OIG audit of TANF Basic Assistance payments in New York identified significant areas of noncompliance with Federal requirements.  , Our objective was to determine whether New York ensured that its TANF and MOE expenditures reported to ACF met Federal requirements., Our audit covered $4.8 billion in reported TANF and MOE funds expended by New York during 
FY 2016.  We reviewed these expenditures and traced them to summary worksheets.  We also reviewed selected expenditures from two local districts for supporting documentation for the quarter ending September 30, 2016., New York's oversight did not ensure that its reported TANF and MOE expenditures met Federal requirements.  Specifically, although New York timely submitted required expenditure reports to ACF, except for certain State tax credits, it did not ensure the accuracy of the other expenditures reported to ACF.  Rather, New York relied on its local districts and TANF-funded State programs to compile and maintain supporting documentation for its reported expenditures and did not review the documentation., As a result, New York could not ensure that its reported TANF program expenditures for FY 2016, totaling $4.8 billion in TANF and MOE expenditures, met Federal requirements and were used in accordance with the intended purposes of its TANF grant.  Inaccurate reporting of TANF program expenditures could negatively impact ACF's program decision making related to how States use their TANF and MOE funds. , We recommend that New York: (1) work with its local districts and TANF-funded State programs to develop financial management procedures that would enable it to determine if TANF and MOE expenditures are accurately reported to ACF, including the $4.8 billion in TANF and MOE expenditures reported for FY 2016; and (2) improve its oversight of the TANF program by providing additional guidance and training to ensure that its local districts accurately report expenditures and maintain adequate documentation to support TANF and MOE expenditures reported., New York agreed with our recommendations and stated that the recommendations are its currently established practices.  New York stated that it will continue to pursue ways to further strengthen its oversight of the TANF program.  New York also stated that the title of the report is misleading and unfairly mischaracterizes its existing oversight and monitoring policies and practices.  We maintain that our report title, findings and recommendations are valid.  We acknowledge New York's comments about its robust TANF program monitoring function and efforts made to strengthen its oversight of the program.  However, we determined that New York did not have adequate oversight during our audit period to ensure that its reported TANF program expenditures met Federal requirements. , Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
1,A-02-16-02009,The Administration for Children and Families Region II Did Not Always Resolve Head Start Grantees' Single Audit Findings in Accordance With Federal Requirements Audit (A-02-16-02009) 02-01-2018,"The Administration for Children and Families (ACF) had a process in place to ensure that Head Start grantees took corrective action on A-133 audit findings. Head Start grantees are required to have Single Audits conducted in accordance with
                Office of Management and Budget Circular A 133 (also known as A-133 audits) for fiscal years beginning before December 26, 2014. However, for Region II Head Start grantees that submitted audit reports to the Federal Audit Clearinghouse,
                ACF did not always resolve recurring audit findings in accordance with Federal requirements and ACF policies and procedures. Specifically, ACF did not issue letters transmitting management decisions for six of the eight audit reports we
                reviewed within 6 months after receiving the reports. In addition, although ACF provided the grantees with letters stating that the corrective actions planned or taken should prevent recurrence of the findings, ACF did not establish specific
                dates for grantees to correct deficiencies noted in the audit reports. Finally, ACF did not always follow up with grantees to ensure that they actually took corrective actions to resolve audit findings. The prompt resolution of audit findings
                helps ensure that Federal funds are effectively and efficiently used to carry out the activities for which they were authorized. , We recommended that ACF (1) review its staffing levels to ensure that the audit resolution process is conducted in accordance with Federal requirements, including the requirement to issue management decisions to grantees within 6 months; (2)
                provide training to Head Start grantees on implementing corrective action plans; (3) include in the letters sent to Head Start grantees specific dates for correcting deficiencies; and (4) monitor Head Start grantees to ensure that grantees
                actually implement corrective actions. ACF concurred with our first and second recommendations. ACF did not concur with our third or fourth recommendations., Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
2,A-09-16-01004,The Administration for Children and Families Region X Did Not Always Resolve Head Start Grantees' Single Audit Findings in Accordance With Federal Requirements Audit (A-09-16-01004) 12-19-2017,"Head Start grantees are required to have Single Audits conducted in accordance with Office of Management and Budget Circular A-133 (also known as A-133 audits) for fiscal years beginning before December 26, 2014.  The Administration for Children and Families (ACF) had a process in place to ensure that Head Start grantees took corrective action on A-133 audit findings.  However, for Region X Head Start grantees that submitted audit reports to the Federal Audit Clearinghouse, ACF did not always resolve recurring audit findings in accordance with Federal requirements and ACF policies and procedures.  Specifically, ACF did not issue Audit Determination Letters (which include management decisions on audit findings) for two of the four audit reports we reviewed within 6 months after receiving the reports.  The prompt resolution of audit findings helps ensure that grantees effectively and efficiently use Federal funds to carry out the activities for which they were authorized., We recommended that ACF review its staffing levels and determine whether resources are aligned efficiently, and adjust as needed, to ensure that management decisions are issued to Head Start grantees within the required 6-month timeframe.  ACF concurred with our recommendation and stated that it will continue to explore alternative approaches to staffing challenges., Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
3,A-06-17-07003,The Administration for Children and Families Did Not Always Resolve American Indian and Alaska Native Head Start Grantees' Single Audit Findings in Accordance With Federal Requirements Audit (A-06-17-07003) 12-14-2017,"Head Start grantees are required to have Single Audits conducted in accordance with the Office of Management and Budget Circular A 133 (also known as A-133 audits) for fiscal years beginning before December 26, 2014.  The Administration for Children and Families (ACF) is responsible for following up on recommendations made to grantees in A 133 audit reports.  We reviewed Federal Audit Clearinghouse (FAC) data for American Indian and Alaska Native (AIAN) Head Start grantees in ACF Regions VI, IX, and X that submitted A-133 audit reports from Federal fiscal years 2013 through 2015.  , ACF had a process in place to ensure that Head Start grantees took corrective action on A-133 audit findings.  However, for AIAN Head Start grantees that submitted audit reports to the FAC, ACF did not always resolve recurring audit findings in accordance with Federal requirements and ACF policies and procedures.  Specifically, ACF did not issue Audit Determination Letters (letters) for 11 of the 14 audit reports we reviewed within 6 months after receiving the reports.  In addition, although ACF provided the grantees with letters stating that the corrective action satisfied the recommendation for which ACF has resolution responsibility, ACF did not always establish specific dates for grantees to correct all deficiencies noted in the audit reports.  Finally, ACF did not always follow up with grantees to ensure that they actually took corrective actions to resolve audit findings.  The prompt resolution of audit findings helps ensure that Federal funds are effectively and efficiently used to carry out the activities for which they were authorized., We recommended that ACF (1) ensure that management decisions are issued to AIAN Head Start grantees within the 6-month timeframe, (2) include in the letters sent to AIAN Head Start grantees specific dates for correcting deficiencies, (3) monitor AIAN Head Start grantees to ensure that grantees actually implement corrective actions, and (4) review its staffing levels to ensure that the audit resolution process is conducted in accordance with Federal requirements., In written comments on our draft report, ACF concurred with our first and fourth recommendations but did not concur with our second or third recommendations.  After reviewing ACF's comments, we maintain that our recommendations are valid and encourage ACF to take appropriate and timely corrective action., Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
4,A-02-16-02013,"The Children's Village, Inc., an Administration for Children and Families Grantee, Did Not Always Comply with Applicable Federal and State Policies and Requirements Audit (A-02-16-02013) 04-26-2019","The Office of Refugee Resettlement (ORR) within the Department of Health and Human Services (HHS), Administration for Children and Families, manages the Unaccompanied Alien Children (UAC) program.  The UAC program served between 7,000 and 8,000 children annually from fiscal years (FYs) 2005 through 2011.  In FY 2012, the number of children served in the program increased to 13,625.  In FY 2014, ORR served 57,496 children.  In FY 2015, ORR served 33,726 children., The Children's Village, Inc. (Children's Village), a UAC grantee responsible for caring for children in ORR custody, received $16.7 million in Federal funds for the care and placement of approximately 483 children during our review period.  We selected Children's Village for review because it received the third highest amount of UAC program funding in New York.  , Our objectives were to determine whether Children's Village (1) met applicable requirements for the care and release of children in its custody and (2) claimed only allowable expenditures in accordance with applicable laws, regulations, and Departmental guidance., We inspected shelter care cottages and reviewed a nonstatistical sample of employee files and a statistical sample of case files for those children who had been released to a sponsor during FY 2015.  We also reviewed a statistical sample of financial transactions. , Children's Village did not always ensure that its facility was free from potentially harmful conditions, did not meet or properly document that it met certain requirements for the care and release of children in its custody, claimed unallowable expenditures, and had inadequate financial management procedures.  Specifically, Children's Village failed to meet or properly document that it had met certain requirements for the care and release of children in its custody in 46 of the 50 case files reviewed.  Additionally, the files for 2 of 20 employees did not contain evidence that Children's Village had performed all required background checks.  , In addition, Children's Village claimed unallowable expenditures totaling at least $2.6 million related to transactions that were not properly approved, allocated, or supported.  Finally, Children's Village did not disburse drawdowns of Federal funds in a timely manner, drew down funds from one UAC grant to cover expenditures related to its other UAC grant, and did not separately track expenditures for its two UAC grants.  , We recommend that Children's Village (1) ensure that its facility is free from potentially harmful conditions, (2) refund to the Federal Government $2.6 million in unallowable grant expenditures, and (3) implement improvements to its financial management system.  We also made a series of other procedural recommendations. , In written comments on our draft report, Children's Village generally concurred with our procedural recommendations and described steps it had taken or planned to take to address them.  Children's Village did not concur with our recommended financial adjustment.  In addition, Children's Village provided additional documentation in response to a number of our draft report findings., Further, Children's Village disagreed with many of our draft report findings.  Based on our review of additional documentation provided by Children's Village and subsequent discussions with ORR officials, we revised our findings as appropriate and clarified our recommendations.  We maintain that our findings and recommendations, as revised, are valid and commend Children's Village for agreeing to take appropriate corrective actions. , Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
5,A-04-16-03566,Office of Refugee Resettlement Unaccompanied Alien Children Grantee Review—His House Audit (A-04-16-03566) 12-04-2017,"His House Children's Home, Inc. (His House), an Unaccompanied Alien Children (UAC) grantee responsible for caring for children in Office of Refugee Resettlement (ORR) custody, met safety standards for the care and release of children in its
                custody. However, some UAC case files were missing evidence of sponsor background checks and other required documentation. His House claimed only allowable expenditures. However, we identified areas in which His House lacked an efficient
                and effective system of internal controls when administering UAC program funds., As a result, His House (1) might not have followed ORR policies for 652 children regarding sponsor background checks, prompt medical care, provision of appropriate clothing, sponsor placement decisions, post-release services, or the notification
                of the Department of Homeland Security of the child's release to a sponsor and (2) might have placed Federal funds totaling , $9 million at risk of mismanagement or misappropriation., We recommended that His House (1) develop a policy for maintaining UAC case file documentation that would ensure ORR policies and procedures were followed when releasing a child to a sponsor, (2) increase oversight of its reviewing process
                for UAC case files to ensure that all required documentation is maintained in the file, and (3) implement a financial management system that requires adequate identification of the source and application of Federal funds and effective
                accountability of property and other assets. We also made procedural recommendations aimed at addressing internal control deficiencies we identified. , His House did not agree with our findings; however, it concurred with our recommendations and described steps that it had taken or planned to take to address our findings and recommendations. , Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
6,A-02-16-02007,"Lincoln Hall Boys' Haven, an Administration for Children and Families Grantee, Did Not Always Comply With Applicable Federal and State Policies and Requirements Audit (A-02-16-02007) 02-11-2019","Lincoln Hall Boys' Haven (Lincoln Hall), an Unaccompanied Alien Children (UAC) grantee located in Lincolndale, New York, did not meet or properly document that it met certain safety requirements for the care and release of children in its custody.  Further, it could not identify actual expenditures incurred and charged to the UAC program, and did not monitor its subrecipients' and contractors' performance.  Specifically, Lincoln Hall did not adequately meet employer requirements for 27 of 35 employee files reviewed and it did not have evidence of the proper care and release of children in its custody for 70 of 75 children sampled.  In addition, Lincoln Hall could not identify the actual expenditures incurred that comprised the $29.8 million charged to the UAC program, the entire amount that Lincoln Hall received in fiscal years 2014 and 2015, and did not ensure that its subrecipients and contractors met the terms and conditions of their agreements.  , As a result, Lincoln Hall may have placed the health and safety of children at risk, may have charged unallowable expenditures to the UAC program, and the services provided by its subrecipients and contractors could have been inadequate.  , We recommended that Lincoln Hall (1) adhere to policies that meet applicable safety requirements for the care and release of children in its custody and maintain supporting documentation, (2) provide documentation to support the $29.8 million of program costs or refund the Federal Government, and (3) develop policies and procedures that adhere to requirements for monitoring subrecipients and contractors.  We also made a series of other procedural recommendations., In written comments on our draft report, Lincoln Hall agreed with many of the audit findings but did not indicate concurrence or nonconcurrence with our recommendations.  However, Lincoln Hall described steps that it had taken or planned to take to address our recommendations and provided supporting documentation."
7,A-03-16-00250,"Youth For Tomorrow - New Life Center, Inc., an Administration for Children and Families Grantee, Did Not Comply With All Applicable Federal Policies and Requirements A-03-16-00250 09-29-2020","Within HHS's Administration for Children and Families (ACF), the Office of Refugee Resettlement (ORR) manages the Unaccompanied Alien Children (UAC) program.  The UAC program served 7,000 to 8,000 children annually from fiscal years (FYs) 2005 through 2011.  In FY 2012, the number of children served began to increase.  In FY 2015, ORR served 33,726 children., Youth For Tomorrow - New Life Center, Inc. (YFT), a UAC program grantee responsible for caring for children in ORR custody, received $9.2 million in Federal funds during FY 2015 for the care and placement of 266 children.  We selected YFT for audit because of the high amount of Federal funding it received and because it had State licensing office health and safety violations during FYs 2014 and 2015. , The objectives of this audit were to determine whether YFT: (1) met applicable requirements for the care and release of children in its custody and (2) claimed only allowable expenditures in accordance with applicable laws, regulations, and Departmental guidance.  , We inspected shelter care residences and reviewed case files for children released to a sponsor during FY 2015.  We also reviewed personnel records, financial transactions, and policies and procedures., YFT did not meet some requirements for the care and release of children in its custody.  Specifically: (1) 85 of the 100 sampled case files had UAC assessments that may not have been conducted within the required timeframe, (2) 42 of the 100 sampled case files either did not have all evidence of the proper release of children or did not meet requirements for the release of children, and (3) 3 of the 25 sampled employee files did not meet pre employment requirements.  In addition, the data in YFT's annual performance report, including children served and released to sponsors and educational hours, were incorrect., YFT also claimed unallowable and potentially unallowable expenditures.  Specifically, it: (1) allocated $1.5 million in staff salaries using estimates, (2) did not allocate $1.35 million in direct expenditures and up to $235,253 in related indirect expenditures in proportion to benefits received, (3) allocated $210,037 in unallowable expenditures and $23,390 in unapproved expenditures using an unreasonable allocation methodology, (4) claimed $10,336 in unallowable employee appreciation expenditures, (5) claimed $6,515 in expenditures not related to the UAC program, and (6) did not use its approved indirect cost rate. , We recommend that YFT strengthen existing procedures to ensure that it meets all requirements for the care and release of children and refund to the Federal Government $10,336 in unallowable employee appreciation expenditures and $6,515 in unallowable expenditures not related to the UAC program.  We also made additional recommendations regarding the unallowable and potentially unallowable allocated expenditures and made other procedural recommendations.  The detailed recommendations are listed in the body of the report., In written comments on our draft report, YFT concurred with one recommendation, partially concurred with three recommendations, and did not concur with the rest but described actions it took or plans to take to address them.  After reviewing YFT's comments, we maintain that our findings and recommendations are valid. , Filed under: <a href=""/reports-and-publications/oas/acf.asp"">Administration for Children and Families</a>"
8,OEI-09-16-00260,HHS's Office of Refugee Resettlement Improved Coordination and Outreach to Promote the Safety and Well-Being of Unaccompanied Alien Children Report (OEI-09-16-00260) 07-31-2017,"Each year, tens of thousands of children without legal status enter the United States unaccompanied by their parents or legal guardians.  These children are referred to as unaccompanied alien children (UAC).  Between fiscal years 2012 and 2016, the number of UAC entering the United States increased dramatically.  Concern for the safety and well-being of these children after their release from Federal custody has risen in recent years, especially in response to cases of human trafficking.  , In response to the influx and ongoing concerns, this Office of Inspector General (OIG) report follows up on a 2008 report on the placement, care, and release of UAC.  In the 2008 report, OIG found a lack of clarity between the Department of Health and Human Services (HHS) and the Department of Homeland Security (DHS) regarding their roles and responsibilities related to UAC.  OIG also found that at the time neither Department checked on children's safety and well being after their release from Federal custody.  OIG recommended that the Departments delineate their roles and responsibilities in a formal agreement., We interviewed officials from HHS's Office of Refugee Resettlement and DHS in July and August 2016; reviewed policies, laws, and testimony related to UAC; and examined related HHS data and documentation., Since OIG's 2008 report, HHS and DHS roles and responsibilities related to UAC are now more clearly delineated in Federal law.  Further, HHS has improved its coordination with DHS and increased its efforts to promote the safety and well-being of UAC after their release from HHS custody.  The Departments have signed a formal agreement regarding their coordination and reported that they have increased and improved their communication.  , Additionally, HHS's Office of Refugee Resettlement (ORR) has increased its contact with UAC and their adult sponsors after the child's release from HHS custody through three efforts:  (1) case management services for the most vulnerable children and their sponsors, (2) safety and well-being calls to each child and their sponsors 30 days after release, and (3) helplines available to all children and their sponsors.  These efforts allow ORR to identify concerns about the safety of UAC and report such concerns to law enforcement and child protective service agencies for investigation. , In light of Federal law delineating HHS and DHS roles and responsibilities, the Departments' improved coordination, and HHS's increased efforts to promote the safety and well being of UAC, OIG considers its prior recommendation implemented.  However, we recognize that these efforts do not guarantee that all UAC are protected from harm.  UAC are a highly vulnerable population with ongoing threats to their safety and well-being.  We encourage ORR to continue its efforts to contact these children after their release to sponsors and provide case management services for those who are the most vulnerable.  Further, ORR should continue to report any concerns about the safety and well-being of UAC to the local law enforcement and child protective service agencies that have jurisdiction to address such concerns, and to support these agencies in any way possible.  Finally, we encourage ORR to continue its efforts to share information and coordinate with DHS."
9,OEI-12-16-00120,ACF Cannot Ensure That All Child Victims of Abuse and Neglect Have Court Representation OEI-12-16-00120 02-26-2021,"As a condition of grant funding under the Child Abuse Prevention and Treatment Act (CAPTA), as amended, a State must assure through a certification that it has in effect and is enforcing a State law or operating a Statewide program that includes provisions and procedures requiring that in every case of child abuse or neglect that results in a judicial proceeding, a representative (e.g., an attorney or nonattorney volunteer) is appointed to advocate for the child's best interests.  However, States' annual reporting to ACF suggests that some States may not be appointing a representative for every child victim.  , These factors raise concerns about whether ACF has taken sufficient action to ensure that vulnerable children receive appropriate court representation to protect their best interests., To assess ACF's oversight in selected States, we surveyed and interviewed the 10 States with the largest numbers of child victims of abuse and neglect in fiscal year 2016.  We also summarized ACF officials' interview responses and agency documentation about procedures to oversee CAPTA's requirement for court representation., ACF is responsible for overseeing States' compliance with CAPTA's requirement for court representation.  However, ACF does little to monitor or enforce States' compliance with this requirement, relying instead on States' self-certification.  , ACF officials reported that ACF considers a State compliant as long as the State has assured through a certification that it has in effect provisions and procedures requiring court representation for child victims-regardless of whether the State effectively implements and enforces that requirement.  ACF officials reported that CAPTA does not provide ACF with the authority to look behind State assurances and monitor whether States actually appoint court representatives to all child victims.  , This is concerning because 5 of the 10 States we reviewed indicated that they do not have systems in place to monitor whether all child victims are appointed a court representative.  States also reported numerous challenges that, in some cases, impeded their ability to promptly appoint a court representative to every child victim., ACF officials explained that ACF prioritizes providing States with technical assistance to support compliance rather than penalizing States.  However, none of the States we reviewed received technical assistance from ACF related to the court-representation requirement, and only four were aware that ACF offers such assistance. , We also found that ACF does not receive complete and accurate court-representative data from States, impeding its ability to identify and respond to problems.  Of the 10 States we reviewed, only 2 confirmed the accuracy of the court-representative appointment figures that they voluntarily reported to ACF.  State officials described technical challenges that impede reporting, such as a lack of centralized data systems.  Additionally, some States face challenges related to communication between court or representative program staff and child welfare agency staff.   , We recommend that ACF conduct oversight activities-seeking statutory authority as necessary-to identify, and proactively provide technical assistance to, States that may not appoint a court representative to every child victim.  We also recommend that ACF proactively identify and address obstacles that States face in reporting complete and accurate court-representative data.  ACF did not explicitly concur or nonconcur with our recommendations.  However, ACF asserted a lack of statutory authority to implement our recommendations and stated that our recommended approach is inconsistent with the structure of the CAPTA State grant program.  "
