Announced or Revised,Agency,Title,Component,Report Number(s),Expected Issue Date (FY),Website_Link,Summary,Office of Evaluation and Inspections
Completed,Administration for Children and Families,States' Accuracy of Reporting TANF Spending Information,Office of Audit Services,A-02-17-02005;  W-00-17-25100,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000001.asp,"The Temporary Assistance for Needy Families (TANF) program is designed to help needy families achieve self-sufficiency.  States receive block grants ($16.5 billion annually) to design and operate programs that accomplish one of the four purposes of the TANF program.  States must report expenditures to ACF on a quarterly basis.  Effective FY 2015, States will report actual transfers, expenditures, and unliquidated obligations (henceforth referred to as expenditures) made with each open grant year award during a fiscal year on form ACF-196R.  Each quarterly report will reflect expenditures cumulative through that quarter for the fiscal year, resulting in a fourth quarter report that reflects actual expenditures made with the grant year award funds for the fiscal year.  States will no longer report expenditures cumulative through the current reporting period.  We will determine the accuracy of States''' reporting of TANF spending information using the new form ACF-196R.",
Completed,Administration for Children and Families,Head Start: Review of Single Audit Findings and Recommendations,Office of Audit Services,"A-02-16-02009,  A-09-16-01004,  A-06-17-07003; various reviews",2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000002.asp,"Effective for awards made on or after December 26, 2014,  all non-Federal entities that expend $750,000 or more of Federal awards in a year are required to obtain an annual audit in accordance with the Single Audit Act Amendments of 1996 (prior to December 26, 2014, the single audit threshold was $500,000).  We will review the Office of Head Start's audit resolution of findings and recommendations contained in the single audit reports involving Head Start grantees for FYs 2013 to 2015.  We will focus on grantees with repeat findings and review what action the Office of Head Start has taken to resolve the findings.",
Completed,Administration for Children and Families,Unaccompanied Children Program Grantee Reviews,Office of Audit Services,A-02-16-02013;  A-04-16-03566;  A-02-16-02007;  A-03-16-00250;  W-00-16-25060,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000003.asp,"Under the Homeland Security Act of 2002, § 462, the Office of Refugee Resettlement (ORR) administers the Unaccompanied Children (UC) program. The UC program provides temporary shelter, care, and other related services to unaccompanied children in its custody. Before FY 2012, about 8,000 children were served annually in this program. In FY 2014, the number of children increased to over 57,500. The UC grant program totaled $911 million for FY 2014. We will review whether selected grantees met applicable grant terms and conditions of the program. Specifically, this work will determine whether a grantee met certain safety standards applicable for the care of UC children in its custody and used funding in accordance with Federal requirements.",
Nov-16,Administration for Children and Families,Recommendation Follow-Up: Office of Refugee Resettlement's Post-Placement Activities for Unaccompanied Children,Office of Evaluation and Inspections,OEI-09-16-00260,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000004.asp,"Under the Homeland Security Act of 2002, § 462, HHS's Office of Refugee Resettlement (ORR) administers the Unaccompanied Children program.  ORR provides temporary shelter, care, and other related services to unaccompanied children in its custody before releasing them to a parent, relative, or other adult sponsor.  In a 2008 report, OIG found a lack of clarity between HHS and the Department of Homeland Security regarding their roles and responsibilities related to unaccompanied children.  OIG also found that at the time, neither Department checked on children's safety and well-being after their release from Federal custody.  OIG recommended that the Departments delineate their roles and responsibilities in a formal agreement.  This recommendation has not been fully implemented; therefore, we will follow up on ORR's progress toward addressing the recommendation, and examine ORR's efforts to promote the safety and well-being of children after their release from ORR's custody.",
October 2020,Administration for Children and Families,ACF Oversight of Guardian Ad Litem Requirements and Reporting,Office of Evaluation and Inspections,OEI-12-16-00120,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000005.asp,"As a condition of receiving Child Abuse Prevention and Treatment Act (CAPTA) State grant funding, States must ensure that
		every child involved in an abuse or neglect judicial proceeding is appointed a trained guardian ad litem (GAL) to obtain
		a first-hand understanding of the child's situation and needs. States self-certify, through signed assurances to the Administration
		for Children and Families (ACF), that they have adhered to this requirement. This review will determine the extent to which
		ACF oversees States' compliance with CAPTA's GAL requirement. We will also identify challenges States face that prevent
		complete and accurate reporting to ACF regarding court representation of child victims.",
Completed,Administration for Children and Families,Foster Care: States' Protocols for the Use and Monitoring of Psychotropic Medications for Children in Foster Care,Office of Evaluation and Inspections,OEI-07-15-00380,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000006.asp,"Psychotropic medications are used to treat mental health disorders such as schizophrenia, depression, bipolar disorder, anxiety disorders, and attention deficit/hyperactivity disorder.  Pursuant to section 422(b)(15)(A) of the SSA, each State must develop a plan for ongoing oversight and coordination of health services for children in foster care, including oversight of prescription medicines, e.g., appropriate use and monitoring of psychotropic medications. We will describe States' protocols for the appropriate use and monitoring of psychotropic medications for children in foster care. For selected States, we will determine whether a sample of children in foster care enrolled in Medicaid received psychotropic medications in accordance with their State's protocols. Because ACF is responsible for the oversight of States' foster care programs, we will determine the extent to which the Agency ensures that children in foster care receive psychotropic drugs in accordance with States' protocols.",
Completed,Administration for Children and Families,Foster Care: Monitoring the Health and Safety of Children Through the Complaint Resolution and Licensing Process,Office of Audit Services,A-01-16-02500;  A-01-16-02501;  A-05-16-00049;  A-06-16-07004;  A-06-16-07006;  A-09-16-01000;  A-09-16-01006,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000007.asp,"Under Title IV-E of the SSA, States must establish complaint procedures for handling allegations or referrals of abuse and noncompliance of health and safety requirements for foster care children.  We will review whether complaints are recorded, investigated, and resolved in accordance with Federal and State requirements.  We will also review States' oversight process to ensure they meet licensing requirements for foster care family homes (SSA Title IV-E § 471(a)(9) and Title IV-E § 472(c)(1)).",
Completed,Administration for Children and Families,States' Payment Rates Under the Child Care and Development Fund Program Could Limit Access to Child Care Providers,Office of Evaluation and Inspections,OEI-03-15-00170,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000008.asp,"Reauthorized in the Child Care and Development Block Grant Act of 2014, the Child Care and Development Fund (CCDF) is the primary Federal funding source devoted to subsidizing the childcare expenses of low-income families.  Each State sets payment rates for childcare providers, and the Administration for Children and Families (ACF) oversees payment rates.  States must certify that payment rates are sufficient to ensure equal access, for eligible families in the area served by the [State], to childcare services comparable to those provided to families not eligible for CCDF subsidies (45 CFR  98.45a).  We will compare CCDF payment rates to the prices charged by childcare centers and family childcare homes.  We will review States' processes for determining their payment rates as well as ACF's methods for determining whether States' CCDF payment rates are sufficient to ensure equal access to childcare services.",
Nov-16,Administration for Community Living,Senior Medicare Patrol Projects' Performance Data - Annual Review,Office of Evaluation and Inspections,OEI-00-00-00000,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000009.asp,"In 1997, Senior Medicare Patrol (SMP) projects were established to recruit and train retired professionals and other senior citizens to prevent, recognize, and report health care fraud, errors, and abuse.  The initiative stemmed from recommendations in a congressional committee report accompanying the Omnibus Consolidated Appropriations Act of 1997.  OIG reports these performance data annually.  We will review performance data and documentation relating to Medicare and Medicaid recoveries, savings, and cost avoidance for SMP projects.  ACL requested this information, which will support its efforts to evaluate and improve the performance of its projects.",
Completed,Centers for Disease Control and Prevention,Oversight of the Select Agent Program,Office of Evaluation and Inspections,OEI-04-15-00431;  OEI-04-15-00432,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000010.asp,"The Federal Select Agent Program oversees the possession, use, and transfer of biological select agents and toxins, which, if handled improperly, have the potential to pose a severe threat to public health.  Entities registered with the program must conduct annual internal inspections to ensure compliance with regulatory requirements (42 CFR  73.9(a)(6)), and the Centers for Disease Control and Prevention (CDC) conducts periodic inspections of entities to oversee the program.  We are conducting a three-evaluation series on CDC's oversight of the Federal Select Agent Program.  The first report (OEI-04-15-00430) found that CDC generally met its inspection goals for the Federal Select Agent Program, but opportunities exist to strengthen oversight.  The second report will examine reporting of theft, loss, or releases (TLRs) to CDC within a sample of entities, as well as describe sampled entities' experiences and perspectives on reporting TLR events.  Our third report will examine the extent to which CDC ensures that sampled entities comply with annual internal inspection requirements and correct observations identified during these inspections.  This third report will also identify any differences and/or similarities between observations identified in CDC's and sampled entities' inspections. ",
