,0,1,2,3,4,5,6,7,8,9
0,"('medicare', 0.04425068125468869)","('payment', 0.03432451248248872)","('hospital', 0.0324235030277826)","('service', 0.031328746663024674)","('claim', 0.021994112877829115)","('inpatient', 0.020517280346336347)","('physician', 0.016514698799306345)","('beneficiary', 0.016460753792455114)","('part', 0.014071497550314054)","('overpayment', 0.013445412722175329)"
1,"('drug', 0.0652944124580166)","('part', 0.03707335486052927)","('medicare', 0.03115985793517819)","('manufacturer', 0.027010253660618124)","('price', 0.02651910838477237)","('rebate', 0.025725014075316834)","('beneficiary', 0.02124195432206344)","('hospice', 0.02111384814023069)","('amount', 0.020055543617723704)","('medicaid', 0.017276136916491196)"
2,"('state', 0.05241392944018784)","('medicaid', 0.04560734380847097)","('care', 0.028031117160466693)","('service', 0.025996158670624315)","('federal', 0.022880381509554633)","('managed care', 0.020603929477669754)","('managed', 0.020232592372083236)","('payment', 0.01841165569816795)","('mcos', 0.016828693462431973)","('provider', 0.016101684316785447)"
3,"('financial', 0.03769600947039251)","('audit', 0.032598511934526175)","('agency', 0.03186707154903818)","('card', 0.030409228718996487)","('federal', 0.029458568293724872)","('financial statement', 0.02694278273634849)","('statement', 0.026820429812323153)","('act', 0.02116154470305755)","('improper', 0.02054771631849465)","('charge', 0.02020708705226137)"
4,"('preparedness', 0.03676097201268026)","('emergency', 0.035853369852492836)","('covid19', 0.03533856347553249)","('home', 0.03215634904662078)","('nursing home', 0.031194286185560482)","('nursing', 0.029169246058603385)","('response', 0.029058962437438003)","('disease', 0.02273048966960637)","('infection', 0.02225413707689522)","('emergency preparedness', 0.021967466905913852)"
5,"('child', 0.05289170323243711)","('state', 0.049207345115649094)","('family', 0.03487920502622428)","('program', 0.03149882836369903)","('check', 0.028934877979358252)","('foster', 0.02635194711432436)","('childcare', 0.026161477769994373)","('care', 0.025507563141404305)","('foster care', 0.024626468908098595)","('background', 0.023097854314582587)"
6,"('health', 0.03473445405934274)","('pepfar', 0.031728769636867736)","('fund', 0.031383896742845176)","('cdc', 0.026558436893918527)","('provider', 0.022248102531906934)","('pepfar fund', 0.020920845136300936)","('relief', 0.020700003628891264)","('covid19', 0.019501801765115574)","('control', 0.01922022076859038)","('health center', 0.01897500332648366)"
7,"('mfcus', 0.07124056999066616)","('medicaid', 0.05872049657491519)","('fraud', 0.04814074757998998)","('state', 0.0323033678955837)","('mfcu', 0.027244677506514065)","('data', 0.02535035580744245)","('abuse', 0.02497856724171358)","('state medicaid', 0.023112100360845017)","('report', 0.02124170491014376)","('provides', 0.020871673830403194)"
8,"('cybersecurity', 0.04506430208887765)","('security', 0.04005389890501493)","('information', 0.025478205910160638)","('technology', 0.024696148609027864)","('gda', 0.02228015596836706)","('data', 0.021710232166421203)","('device', 0.02095315606962733)","('federal', 0.02040800683535639)","('opdivs', 0.018998008297228402)","('cloud', 0.018445839675442832)"
9,"('nih', 0.09764660336798711)","('institute', 0.04941020154914195)","('research', 0.0442872090684561)","('national institute', 0.034940978975865296)","('grant', 0.032556656499339094)","('grantee', 0.030532084525239887)","('institute health', 0.029809870764078053)","('national', 0.028468642981149626)","('foreign', 0.026083636918568298)","('health', 0.02559507904397141)"
